date,day,time,hours,minutes,seconds,totalminutes,totalcount
27-04-21,Tuesday,21:12:50,21,12,50,1272.833333,4
,,,0,0,0,0,
27-04-21,Tuesday,21:12:55,21,12,55,1272.916667,4
,,,0,0,0,0,
27-04-21,Tuesday,21:13:00,21,13,0,1273,4
,,,0,0,0,0,
27-04-21,Tuesday,21:13:40,21,13,40,1273.666667,4
,,,0,0,0,0,
27-04-21,Tuesday,21:13:45,21,13,45,1273.75,4
,,,0,0,0,0,
27-04-21,Tuesday,21:13:50,21,13,50,1273.833333,4
,,,0,0,0,0,
27-04-21,Tuesday,21:13:55,21,13,55,1273.916667,4
,,,0,0,0,0,
27-04-21,Tuesday,21:14:00,21,14,0,1274,6
,,,0,0,0,0,
27-04-21,Tuesday,21:14:05,21,14,5,1274.083333,6
,,,0,0,0,0,
27-04-21,Tuesday,21:23:15,21,23,15,1283.25,4
,,,0,0,0,0,
27-04-21,Tuesday,21:23:20,21,23,20,1283.333333,4
,,,0,0,0,0,
27-04-21,Tuesday,21:23:25,21,23,25,1283.416667,4
,,,0,0,0,0,
27-04-21,Tuesday,21:23:30,21,23,30,1283.5,4
,,,0,0,0,0,
27-04-21,Tuesday,21:23:35,21,23,35,1283.583333,6
,,,0,0,0,0,
27-04-21,Tuesday,21:23:40,21,23,40,1283.666667,6
,,,0,0,0,0,
27-04-21,Tuesday,21:23:45,21,23,45,1283.75,8
,,,0,0,0,0,
27-04-21,Tuesday,21:23:50,21,23,50,1283.833333,8
,,,0,0,0,0,
27-04-21,Tuesday,21:23:55,21,23,55,1283.916667,10
,,,0,0,0,0,
27-04-21,Tuesday,21:24:00,21,24,0,1284,10
,,,0,0,0,0,
27-04-21,Tuesday,21:24:05,21,24,5,1284.083333,10
,,,0,0,0,0,
27-04-21,Tuesday,21:24:10,21,24,10,1284.166667,12
,,,0,0,0,0,
27-04-21,Tuesday,21:24:15,21,24,15,1284.25,14
,,,0,0,0,0,
27-04-21,Tuesday,21:24:20,21,24,20,1284.333333,16
,,,0,0,0,0,
27-04-21,Tuesday,21:24:51,21,24,51,1284.85,7
,,,0,0,0,0,
27-04-21,Tuesday,21:24:56,21,24,56,1284.933333,8
